Girl, profile, friends, Cat, message, chat, phone, date1, date2, date3, result, eng
manj, tba, 0, 2, 1, 1, 1, 0, 1, 0, 0, na
svan, tba, 0, 1, 0, 0, 0, 0, 0, 0, na, na 
rsvn, tba, 1, ?, 1, 1, 1, 1, 1, 1, ?, na
rsv?, tba, ?, 1, 1, 1, 1, 1, 1, 1, ?, na
anum, tba, 1, 1, 0, 0, 0, 0, 0, 1, na, na
divk, tba, 0, 1, 0, 0, 0, 0, 0, 0, na, na
anud, tba, 1, 1, 0, 0, 0, 0, 0, 0, na, na
adin, tba, 0, 1, 1, 1, 1, 1, 0, 0, na, na
tejp, tba, 0, 1, 0, 0, 1, 0, 0, 0, na, na
satp, tba, 1, 1, 0, 0, 0, 0, 0, 0, na, na
rcha, tba, 0, 1, 1, 1, 1, 1, 1, 0, na, na
rch2, tba, 0, 1, 0, 0, 0, 0, 0, 0, na, na
shlk, tba, 1, 2, 2, 1, 1, 1, 0, 0, na, na
mams, tba, 1, 1, 2, 1, 1, 0, 0, 0, na, na
bhak, tba, 1, 2, 2, 1, 1, 0, 0, 0, na, na
avan, tba, 0, 2, 2, 1, 1, 0, 0, 0, na, na
shig, tba, 1, 2, 2, 1, 0, 0, 0, 0, na, na
smil, tba, 0, 3, 1, 1, 0, 0, 0, 0, na, na
reem, tba, 0, 3, 1, 1, 1, 0, 0, 0, na, na
